id,Running time,Actors Box Office %,Director Box Office %,Oscar and Golden Globes nominations,Oscar and Golden Globes awards,Release year,IMDb score,genre_encoded,AdjBudget,AdjEarnings,AdjBoxOffice,Director_mean_target
137,123,52.25,33.33,0,0.0,2015,7.0,3,53668601.83024847,46884080.466801964,100552682.29705043,6.679308390022675
138,125,30.95,35.29,0,0.0,1989,6.6,0,58066209.67741936,19355403.225806452,77421612.90322581,6.973069862865781
139,133,23.8,33.33,0,0.0,2015,5.4,0,70883059.02108288,-50630756.44363063,20252302.577452254,6.803133374561946
140,117,66.67,60.0,0,0.0,2002,6.7,0,72042123.40188994,134745453.02946082,206787576.43135077,6.8034467120181406
141,110,66.67,100.0,0,0.0,1998,7.1,0,66259601.226993866,126629460.12269938,192889061.34969324,6.4620667314544855
142,122,75.0,100.0,0,0.0,2004,5.9,0,82585786.13022764,85126887.24192695,167712673.3721546,6.147781017168772
143,93,83.33,100.0,0,0.0,2007,6.3,4,70610040.416317,98391039.92437616,169001080.34069318,6.390638160025914
144,112,26.66,50.0,0,0.0,1999,6.6,4,50421638.65546219,7203091.236494599,57624729.89195679,6.181607457797933
145,117,96.29,71.42,0,0.0,2014,6.5,4,40552683.15761016,89215902.94674236,129768586.10435252,6.2576788291074
146,107,33.33,80.0,0,0.0,2000,5.1,5,55750754.93612079,11150150.987224158,66900905.92334495,6.157678829107399
147,101,33.33,0.0,0,0.0,1996,6.1,5,33652989.1650733,-26004582.536647547,7648406.628425749,6.433495302883058
148,110,43.33,75.0,0,0.0,2002,6.4,0,66705669.81656476,-24547686.49249583,42157983.32406893,7.073378684807255
149,92,33.33,0.0,0,0.0,2005,2.9,0,30722862.26318484,3686743.471582181,34409605.73476702,4.959385235575711
150,124,46.7,100.0,0,0.0,2001,7.6,3,40656182.947487295,71825923.20722756,112482106.15471485,6.655744520030233
151,104,11.11,0.0,0,0.0,2002,5.6,7,40023401.88993885,28016381.3229572,68039783.21289605,6.592718568909045
152,93,80.55,20.0,0,0.0,1999,6.3,0,93640186.07442978,74912148.85954383,168552334.9339736,5.98344671201814
153,128,33.33,35.29,0,0.0,2008,7.1,0,78031843.4949815,54622290.44648705,132654133.94146854,6.973069862865781
154,110,16.67,20.0,0,0.0,1996,5.3,4,45890439.7705545,-33652989.1650733,12237450.605481198,6.58344671201814
155,120,100.0,100.0,0,0.0,2000,7.0,5,11150150.987224158,27875377.468060397,39025528.45528455,6.555744520030234
156,116,33.33,0.0,0,0.0,2006,7.0,0,9524087.301587302,3571532.7380952383,13095620.039682541,6.555744520030234
157,117,33.33,33.33,0,0.0,1992,5.4,4,68426799.71489665,155670969.35138986,224097769.0662865,6.016808390022675
158,109,66.67,0.0,0,0.0,2014,4.4,0,5069085.39470127,0.0,5069085.39470127,6.1224111866969
159,91,0.0,28.57,0,0.0,1996,7.1,4,10707769.279796049,-1529681.3256851498,9178087.954110898,7.144538926681783
160,93,66.67,50.0,0,0.0,1997,6.9,0,53833345.79439252,20935190.031152647,74768535.82554516,6.503829680020156
161,89,73.8,100.0,0,0.0,2009,5.4,4,33561623.40295613,93972545.52827717,127534168.9312333,6.292718568909044
162,108,28.88,0.0,0,0.0,2004,5.9,4,50822022.233986236,889385.3890947591,51711407.623081,6.3724111866969
163,105,83.33,87.5,0,0.0,2003,5.5,4,43044733.69565218,129134201.08695653,172178934.78260872,6.156497470783185
164,108,41.67,40.0,0,0.0,1996,6.0,0,76484066.28425749,30593626.513702996,107077692.79796049,6.40344671201814
165,109,33.33,0.0,0,0.0,2013,6.2,5,36059208.35175591,0.0,36059208.35175591,6.422411186696901
166,101,0.0,0.0,0,0.0,2015,5.7,0,15189226.93308919,-13163996.675343964,2025230.2577452252,6.339077853363567
167,132,50.0,50.0,0,0.0,2009,6.7,5,19018253.26167514,14543370.14128099,33561623.40295613,6.756497470783184
168,101,88.89,66.67,0,0.0,2003,6.7,4,105655255.43478262,525667505.4347827,631322760.8695652,6.330406101834672
169,81,66.67,75.0,0,0.0,2009,5.8,4,46986272.76413859,107397194.88945962,154383467.6535982,6.614940791131267
170,92,27.77,0.0,0,0.0,2012,5.7,0,57494468.4965635,-7317477.808653536,50176990.68790996,6.226051902242379
171,104,47.22,0.0,0,0.0,2003,5.5,0,67828065.21739131,-18652717.93478261,49175347.2826087,6.305744520030234
172,108,0.0,0.0,0,0.0,1998,6.8,4,44173067.48466258,-1472435.5828220858,42700631.90184049,6.591808390022675
